,link
0,/europe/memorials/abbatstvo_sv_mikhaila_sint_michielsabdij/
1,/europe/memorials/abbatstvo_sen_deni_abbaye_de_saint_denis/
2,/europe/memorials/antiko_ospedale_madzhore_antico_ospedale_maggiore/
3,/europe/memorials/arsenal_estoniya/
4,/europe/memorials/arsenal_arsenal/
5,/europe/memorials/aeroport_parizh_orli_a_roport_de_paris_orly/
6,/europe/memorials/bazilika_sv_amvrosiya_mediolanskogo_basilica_di_sant_ambrogio/
7,/europe/memorials/bazilika_sv_nikolaya_chudotvortsa_basilica_pontificia_di_s_nicola_il_taumaturgo/
8,/europe/memorials/banya_petra_peeter_i_saun/
9,/europe/memorials/bersi_bercy/
10,/europe/memorials/birzha_beurs/
11,/europe/memorials/bodlianskaya_biblioteka_the_bodleian_library/
12,/europe/memorials/bolshoy_trianon_le_grand_trianon/
13,/europe/memorials/botanicheskiy_sad_jardin_des_plantes/
14,/europe/memorials/byust_petra_velikogo_buste_van_peter_de_grote/
15,/europe/memorials/byust_petra_velikogo_na_skale_petrova_vysota_busta_petra_velik_ho_na_petrov_v_in_/
16,/europe/memorials/byust_tsarya_petra_i_borstbeeld_van_czaar_peter_de_grote/
17,/europe/memorials/byust_tsarya_petra_i_v_zaandame/
18,/europe/memorials/venetsianskiy-arsenal-l-arsenale-di-venezia/
19,/europe/memorials/geroldmeysterskiy_i_korolevskiy_otel_the_king_s_arms_and_royal_hotel/
20,/europe/memorials/gorelef_na_stene_khrama_svyatykh_pervoverkhovnykh_apostolov_petra_i_pavla/
21,/europe/memorials/gorodskoy_dvorets_petra_i_peeter_i_linnapalee/
22,/europe/memorials/gorodskoy_muzey_g_perasta_muzej_grada_perasta_muze_grada_perasta/
23,/europe/memorials/gostinitsa_goluboy_yakor_the_blue_anchor_inn/
24,/europe/memorials/gostinitsa_greys_nil_grace_neill_s_bar/
25,/europe/memorials/gostinitsa_kross_the_cross_inn/
26,/europe/memorials/grobnitsa_usypalnitsa_ferentsa_ii_rakotsi_v_kafedralnom_sobore_svyatoy_elizavety_r_k_czi_kripta_szen/
27,/europe/memorials/gusinaya_bashnya_gaasetaarnet_g_set_rnet/
28,/europe/memorials/dvorets_v_bolshom_sadu_palais_in_gro_en_garten/
29,/europe/memorials/dvorets_v_kadriorge_i_park_kadriorg_kadrioru_loss/
30,/europe/memorials/dvorets_i_mavzoley_semi_zmaevichey_s_tserkovyu_madonny_ruzariya_palata_zma_evi_zvonik_tsrkva_gospe_o/
31,/europe/memorials/dvorets_i_park_augarten_palais_und_park_augarten/
